noname
1	/dataset/mazurkas/mazurka07-1/pid610004-05.mp3
2	/dataset/mazurkas/mazurka07-1/pid9074f-05.mp3
3	/dataset/mazurkas/mazurka07-1/pid9098-05.mp3
4	/dataset/mazurkas/mazurka07-2/pid9061-06.mp3
5	/dataset/mazurkas/mazurka07-2/pid9062-06.mp3
6	/dataset/mazurkas/mazurka07-2/pid9064-05.mp3
7	/dataset/mazurkas/mazurka17-2/pid9074f-11.mp3
8	/dataset/mazurkas/mazurka17-2/pid9192-11.mp3
9	/dataset/mazurkas/mazurka17-2/pid9198g-11.mp3
10	/dataset/mazurkas/mazurka24-4/pid6100021-12.mp3
11	/dataset/mazurkas/mazurka24-4/pid9056-13.mp3
12	/dataset/mazurkas/mazurka24-4/pid918722-06.mp3
13	/dataset/mazurkas/mazurka67-1/pid9062b-16.mp3
14	/dataset/mazurkas/mazurka67-1/pid9099b-19.mp3
15	/dataset/mazurkas/mazurka67-1/pid9184-14.mp3
Q/R	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	1.00000	0.08386	0.00000	0.54962	0.43452	0.32461	1.00000	0.55712	1.00000	0.32174	0.31923	0.30933	1.00000	0.55546	1.00000
2	0.38166	1.00000	0.00000	0.52494	0.53056	0.40633	0.57680	1.00000	0.63677	0.47214	0.47466	0.45912	1.00000	1.00000	1.00000
3	0.30138	0.00000	1.00000	0.58096	0.52044	0.41380	0.54334	0.58752	1.00000	0.39933	0.26761	0.34714	1.00000	1.00000	1.00000
4	1.00000	0.56494	0.64194	1.00000	0.00248	0.00000	0.59201	0.64437	1.00000	0.58113	0.49480	0.54005	1.00000	1.00000	0.63181
5	1.00000	0.56095	0.55838	0.23913	1.00000	0.00000	0.55833	0.51369	0.56682	0.46760	0.34550	0.38696	1.00000	1.00000	1.00000
6	1.00000	0.51939	0.53140	0.18745	0.00000	1.00000	0.53514	0.56498	0.54731	0.48794	0.41481	0.33670	1.00000	1.00000	1.00000
7	1.00000	0.32680	0.27747	0.27441	0.24026	0.14360	1.00000	0.05488	0.00000	1.00000	0.18392	0.18156	1.00000	1.00000	0.24789
8	1.00000	1.00000	0.22967	0.27716	0.03550	0.18057	0.00000	1.00000	0.22365	0.14075	0.04376	0.14851	0.38069	1.00000	1.00000
9	1.00000	0.36566	1.00000	0.31659	0.14760	0.15785	0.00000	0.26413	1.00000	0.34563	0.33627	0.31448	0.41589	1.00000	1.00000
10	0.56194	0.45620	0.35168	0.56001	0.44809	0.47905	1.00000	0.54045	0.60637	1.00000	0.00000	0.05489	1.00000	1.00000	1.00000
11	0.49949	0.43903	0.31317	0.51418	0.32916	0.44450	0.53097	0.49871	1.00000	0.18251	1.00000	0.00000	1.00000	1.00000	1.00000
12	0.51291	0.41905	0.43316	0.49696	0.33187	0.32117	0.51215	0.51619	1.00000	0.19161	0.00000	1.00000	1.00000	1.00000	1.00000
13	1.00000	0.23898	0.12923	0.23932	0.21226	0.09140	1.00000	1.00000	1.00000	0.22303	0.18258	0.00000	1.00000	0.21895	0.03840
14	1.00000	1.00000	0.14425	1.00000	0.36390	0.25135	1.00000	0.31415	0.34723	0.29906	0.31124	0.36317	0.14114	1.00000	0.00000
15	1.00000	1.00000	0.22770	1.00000	0.13197	0.07305	0.11396	0.16570	1.00000	0.11678	0.15740	0.20438	0.00000	0.22104	1.00000
